appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.10,iOS,iPhone,iPhone 11,14.4.2,iPhone,Meifang的iPhone,CH5005,P6097,按钮点击,P6306,10a92644550e1876ea9615d71cb5385e,1647349393723,1647349395000,4070880000000,4070880000000,0,1647349497000,1647349409567,mockUrl/anniversary.html#/anniversary,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 11,15.3.1,iPhone,Chunyuan的iPhone,CH5005,P02w,按钮点击,P70,d94f6dd6b8c6bfbb688ed7b88d84d841,1647305505391,1647305506000,4070880000000,4070880000000,0,1647305514000,1647305510732,mockUrl/eScore.html#/index,"[{""FCP"":""129.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 6 Plus,12.5.5,iPhone,iPhone6P,CH5005,P02w,按钮点击,P70,2579191eefc210989feadaed4d54ba0c,1647311666059,1647311669000,4070880000000,4070880000000,0,1647311749000,1647311733671,mockUrl/eScore.html#/index,
8.10,iOS,iPhone,iPhone 13 Pro,15.2.1,iPhone,iPhone 13 Pro,CH5005,P02w,按钮点击,P70,8e4b4dc26a3838ada832ffa680c27b9c,1647324992071,1647324992000,4070880000000,4070880000000,0,1647325014000,1647325011626,mockUrl/eScore.html#/index,"[{""FCP"":""295.000""},{""TTFB"":""0.000""}]"
8.08,Android,HUAWEI,LYA-AL00,Android 10,HUAWEI,HUAWEI Mate 20 Pro (UD),CH5005,P01705,按钮点击,P6025,fa5c03f401c9ddcff98696bf5b6cec03,1647299753953,1647299754000,4070880000000,4070880000000,0,1647299830000,1647273735924,mockUrl/eScore.html#/index,"[{""FCP"":""672.100""},{""TTFB"":""2.700""},{""LCP"":""1705.700""},{""FID"":""108.300""},{""CLS"":""0.082""}]"
8.08,Android,HUAWEI,ELE-AL00,Android 10,HUAWEI,HUAWEI P30,CH5005,P02w,按钮点击,P70,1bd57a6201354f69cd5faa06499f2b5a,1647334114263,1647334114000,4070880000000,4070880000000,0,1647334155000,1647334149683,mockUrl/eScore.html#/index,"[{""FCP"":""687.800""},{""TTFB"":""2.700""},{""CLS"":""0.001""},{""LCP"":""1310.200""}]"
8.10,iOS,iPhone,iPhone 11,14.1,iPhone,iPhone (2),CH5005,P02w,按钮点击,P70,d3e9ac76eb4836bb5dad8653b3e3817f,1647301660542,1647309437000,4070880000000,4070880000000,0,1647309543000,1647309453917,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.07,Android,OPPO,PCAM00,Android 11,OPPO,OPPO Reno,CH5005,P02w,按钮点击,P70,65c92d1c6f4e9f75e68dda7901d68e4b,1647340710209,1647340711000,4070880000000,4070880000000,0,1647340846000,1647340842127,mockUrl/eScore.html#/index,"[{""FCP"":""795.900""},{""TTFB"":""2.700""},{""CLS"":""0.000""},{""LCP"":""1079.300""}]"
8.10,iOS,iPhone,iPhone 11,15.1,iPhone,李❣️漂亮的iPhone ,CH5005,P6097,按钮点击,P6306,f4548bb8509edbf7191988b5dc3b4a0a,1647245451711,1647306114000,4070880000000,4070880000000,0,1647306146000,1647304555758,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""802.000""}]"
8.09,iOS,iPhone,iPhone 12,15.0.2,iPhone,iPhone (17),CH5005,P02w,按钮点击,P70,98cac6e8a2a250f8c3a58c287413cb6c,1647317218305,1647318280000,4070880000000,4070880000000,0,1647318311000,1647318290737,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""1730.000""}]"
8.09,iOS,iPhone,iPhone 12,15.0.2,iPhone,iPhone (17),CH5005,P02w,按钮点击,P70,98cac6e8a2a250f8c3a58c287413cb6c,1647317218305,1647318280000,4070880000000,4070880000000,0,1647318318000,1647318311282,mockUrl/eScore.html#/index,"[{""FCP"":""100.000""},{""TTFB"":""0.000""}]"
8.09,iOS,iPhone,iPhone 12,15.0.2,iPhone,iPhone (17),CH5005,P02w,按钮点击,P70,98cac6e8a2a250f8c3a58c287413cb6c,1647317218305,1647318280000,4070880000000,4070880000000,0,1647318331000,1647318318325,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""189.000""}]"
